Ticketid,Calendar Week ,Ticket Create Time,Priority,Site,Problem Description,General Category,Sub Category,Resolution,No
INC000005726541,CW: 2022/01,1/5/2022 6:28:29 AM,High,Singapore,"(1) Problem description on error* (Including screenshot of error):  
Lot abort error.

1: EAF.AbortTransportJob: (20) General Error. Equipment rejected command. Same Source and Destination.

info from user: tested same issue on other pc.

(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[ X ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: ZA114250G12

(4) Equipments affected:FLEX-053

(5) Equipment/PC name: ISCW8CC9263QMN.infineon.com

(6) Camstar Server*: sinsapa22
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:-
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only): n/a

(10) Affected area contact number*: +65684 00080

(11)Alt Contact Person Name (Compulsory for Critical)*: -

(12)Alt Contact Person Number (Compulsory for Critical):-

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCW8CC9263QMN.infineon.com, 10.229.40.44, INFINEON\AngTunbi, SIN_W/Kallang Way, ,",Integration,EAF/EAFA,"1) Findings:
EAF status normal but  Yoda.EAF.AbortTransportJob(JCBE)  when user perform cancel
2) Containment Action*:
abort fajob and clear attribute  ifxFAJobName , ifxReservedEquipment
change ifxIsFAJobEnabled to false
3) FAQ: 

* Mandatory fields.",82
INC000005728494,CW: 2022/01,1/6/2022 2:04:33 AM,Low,Singapore,"Type: 
	Issue
	Investigation/Consultation

Problem Description: 
	Unable to auto track in lot on CAMSTAR due to EAF Time out
	
	Lot information is downloaded to machine when operator performed track in lot on CAMSTAR however EAF reflect time out error and did not track in lot into CAMSTAR.
	
	Following steps were performed but still unable to resolve issue:
	1. End & Abort lot on machine
	2. Machine restart
	3. Verified machine connection is ok
	4. Called IT to restart EAF
	
	Still received error message after performing all the steps above, please see attachment for error message on handler.

Equipment ID: 
	SRM-012

Lot ID: 
	ZA132311MOC

PC Name: 
	

",Integration,EAF/EAFA,"The lot has tracked and moved out from EQ SRM-012, no issue now",83
INC000005732118,CW: 2022/02,1/7/2022 8:06:13 PM,Low,Batam,"Problem Description:
	Missing test summary N,B41P,Qty =7660

Site:
	BTH

Lot Number:
	RU136058B17

Equipments Affected:
	TEMMCI001
	

Camstar Server:
	BTHSAPA24

Integration Application:
	

Printer:
	

Affected Area Contact Number:
	+62770610109

",Integration,EAF/EAFA,"missing test summary.
Checked with host team and recovered successfully.

https://faqstorage.infineon.com/ServiceDeskFAQs/126031/MissingTestSummaryinCamstarBatam?Keywords=test+summary",84
INC000005732650,CW: 2022/02,1/8/2022 9:57:45 PM,Low,Batam,"Problem Description:
	Missing Test summary N,B41P,Qty =3770

Site:
	BTH

Lot Number:
	ZA131435B03

Equipments Affected:
	TEMMCI004

Camstar Server:
	BTHSAPA24

Integration Application:
	

Printer:
	

Affected Area Contact Number:
	+62770610109

",Integration,EAF/EAFA,"Missing test summary
Checked with host team and now already ok.

https://faqstorage.infineon.com/ServiceDeskFAQs/126031/MissingTestSummaryinCamstarBatam?Keywords=missing+test+summary",85
INC000005736348,CW: 2022/02,1/11/2022 12:21:00 AM,Low,Singapore,"Problem Description:
	84PCY913IA1 (B61p) missing test summary (W) from AV to Camstar .
	
	Filename:	\\wproj500.sin.infineon.com\ArchView\06_BE_TestSum\84P\CY\84PCY913\84PCY913IA1_B61P_W_20220110193044_M6301H8Z154J7_SINF7516_sum.txt
	Summary report
	01/10/2022 20:01:15
	

Site:
	SIN

Lot Number:
	84PCY913IA1

Equipments Affected:
	J750-016

Camstar Server:
	SINSAPA23 

Integration Application:
	DDM

Printer:
	

Affected Area Contact Number:
	68400297

",Integration,EAF/EAFA,"Follow FAQ, recover test summary.
https://faqstorage.infineon.com/ServiceDeskFAQs/113067/MissingTestSummaryinCamstarSingapore?Keywords=missing+test+summary",86
INC000005741890,CW: 2022/03,1/12/2022 6:12:25 PM,Low,Melaka,"(1) Problem description on error* (Including screenshot of error):  EAF.CreateEAJob: General Error. Equipment rejected command. Object reference not set to an instance of an object
   
(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[ X ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: VC119349G01

(4) Equipments affected: NEO-001

(5) Equipment/PC name:

(6) Camstar Server*:
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):

(10) Affected area contact number*: +6062515955

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCW8CC13748C6.infineon.com, 10.233.32.62, INFINEON\ZahariRo, MKZ/B8.1.R01.P, ,",Integration,EAF/EAFA,"1) Findings:
NEO-001 equipment status is not communicating, SECS-GEM control mode is offline(EAF log)
2) Containment Action*:
advise user change SECS-GEM to ONLINE/REMOTE
lot finish process normal
3) FAQ: 
https://faqstorage.infineon.com/ServiceDeskFAQs/123376/EAFcommunicationproblem
* Mandatory fields.",87
INC000005745561,CW: 2022/03,1/14/2022 4:52:40 AM,Low,Melaka,"Problem Description:
	Partial Test summary not available in camstar, attached is test summary extracted from tester and please help to REPUMP.
	Tester Type : IPTESTER
	Tester ID      : IPTEST080
	Test Mode   : B11P
	Type             : N
	

Site:
	MKZ M3 (PLT)

Lot Number:
	VC132971G02

Equipments Affected:
	ADV007

Camstar Server:
	MKZSAPA28

Integration Application:
	

Printer:
	

Affected Area Contact Number:
	5717

",Integration,EAF/EAFA,"1) Findings: Upon checking, test summary has been received in Camstar

2) Containment Action: Informed user to check and verify.
User feedback through Webex, test summary received.

3) FAQ:",88
INC000005752388,CW: 2022/03,1/18/2022 7:36:04 AM,Low,Singapore,"Goh Sek Fang (IFAP BE TS SO P TT A)	07:34
This lot missing test summary in Camstar .  
Found in Archive Viewer but not transfer in Camstar .
Please help transfer to camstar.

(1)LOT ID :  1E132743G06
Summary report ? 01/18/2022 11:24:46
Test Flag : “ W ” missing test summary in Camstar   (1xN,2xW)
Test Mode : B31P                                                           
Node Name:  SINFFX50
Equipment Type : FLEX-050	
Equipment ID :  MT-048
Filename:\\wproj500.sin.infineon.com\ArchView\06_BE_TestSum\2021\32\1E132743\1E132743G06_B31P_W_20220118092109_S1440B4XS304_SINFFX50_sum.txt

Department: Production Test(Singapore)
Tel : +65 6840 0297

pls check/help

, INFINEON\GohSekFa, SIN_W,",Integration,EAF/EAFA,"missing test summary.
manual recover the test summary.

https://faqstorage.infineon.com/ServiceDeskFAQs/113067/MissingTestSummaryinCamstarSingapore?Keywords=test+summary",89
INC000005758075,CW: 2022/04,1/20/2022 5:33:25 AM,Low,Melaka,"(1) Problem description on error* (Including screenshot of error):  

- Missing Test Summary
   
Equipment Type: IPTESTER
Equipment ID: SIR019
Test Mode: B11P, Q11P
Test Flag: N
Lot ID: PF151395G02 

(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[ x ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: PF151395G02

(4) Equipments affected: SIR019

(5) Equipment/PC name:

(6) Camstar Server*: 
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only): https://faqstorage.infineon.com/KnowledgebaseArticle126629.aspx

(10) Affected area contact number*: +60 6 287 3310

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical): +6062515712

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state 

, INFINEON\Hassan, MKZ/B8.3.R01.P, ,",Integration,EAF/EAFA,"1) Findings: Missing Test Summary

2) Containment Action*: Repump

3) FAQ: 

* Mandatory fields.",90
INC000005758866,CW: 2022/03,1/20/2022 9:06:28 AM,Critical,Melaka,"(1) Problem description on error* (Including screenshot of error):  
When user tried to track in there is an error
""EAF.CreateEAJob: Cannot create job. Equipment is not in control state ONLINE/REMOTE!(2) Site*: Mark ""x"" for user site""

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[X] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: ZF121321G03

(4) Equipments affected: A11TF21

(5) Equipment/PC name:

(6) Camstar Server*:
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):

(10) Affected area contact number*: +6062515663

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical): +6017-3287975

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCF8CC0441PY3.infineon.com, 172.21.116.108, INFINEON\BerhanMu, MKZ/B8.3.R01.P, ,",Integration,EAF/EAFA,"1) Findings:
EAF is not communicating 
2) Containment Action*:
restart EAF, EAF change normal.
advise user try again
3) FAQ: 

* Mandatory fields.",91
INC000005759445,CW: 2022/03,1/20/2022 11:08:34 AM,Low,Singapore,"User wrote via chat:
This lot missing test summary in Camstar .  
Found in Archive Viewer but not transfer in Camstar .
Please help transfer to camstar.

(1)LOT ID :  1E131410G06

Summary report: 01/20/2022 16:50:42
Test Flag : “ W ” missing test summary in Camstar   (1xN,2xW)
Test Mode : B31P                                                           
Node Name:  SINFFX50
Equipment Type : FLEX-050	
Equipment ID :  MT-048
Filename:\\wproj500.sin.infineon.com\ArchView\06_BE_TestSum\2021\31\1E131410\1E131410G06_B31P_W_20220120153121_S1440B4XS304_SINFFX50_sum.txt

Department: Production Test(Singapore)
Tel : +65 6840 0297
Test summary 1xN,1xF,2xW 


 ISCN5CG938C7BT.infineon.com, 10.229.116.9, INFINEON\GohSekFa, SIN_W, ,",Integration,EAF/EAFA,"1) Findings:
missing test summary

2) Containment Action*:
manual recover

3) FAQ: 
https://faqstorage.infineon.com/ServiceDeskFAQs/113067/MissingTestSummaryinCamstarSingapore?Keywords=test+summary

* Mandatory fields.",92
INC000005762118,CW: 2022/04,1/21/2022 9:53:43 AM,Low,Melaka,"Problem Description:
	Test summary not available in Camstar, please refer attached summary and repump. Thanks.
	Tester ID: IPTEST019
	Test mode: B11P/Q11P
	Test type: N

Site:
	MKZ M3 (PLT)

Lot Number:
	ZF144430G17

Equipments Affected:
	NA

Camstar Server:
	MKZSAPA26 

Integration Application:
	EAF

Printer:
	

Affected Area Contact Number:
	3653

",Integration,EAF/EAFA,"recover test summary
https://faqstorage.infineon.com/ServiceDeskFAQs/126629/MissingTestSummaryinCamstarMelaka?Keywords=test+summary",93
INC000005765316,CW: 2022/04,1/24/2022 9:14:07 AM,Low,Singapore,"(1) Problem description on error* (Including screenshot of error):  
   
(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[ x ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number:   1E134619G07

(4) Equipments affected: FLEX-115

(5) Equipment/PC name: MT-050

(6) Camstar Server*:
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):

(10) Affected area contact number*: +65 6840 0297

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCN5CG938C7BT.infineon.com, 10.229.116.11, INFINEON\GohSekFa, SIN_W, ,",Integration,EAF/EAFA,"1) Findings: Upon checking, test summary has been received in Camstar

2) Containment Action: Informed user to check and verify.
No action by BOC.

3) FAQ: 

* Mandatory fields.",94
INC000005767544,CW: 2022/04,1/25/2022 2:07:39 AM,Low,Melaka,"(1) Problem description on error* (Including screenshot of error):   Printed label with error - Lot scanning error
   
(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[ x ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number:  RU139300G29

(4) Equipments affected:  ISCW8CC0490RNK

(5) Equipment/PC name:

(6) Camstar Server*:
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):

(10) Affected area contact number*:  6062515638

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCW8CC0490RNK.infineon.com, 10.233.32.168, INFINEON\Channasi, MKZ/B8.2.R01.P, ,",Integration,EAF/EAFA,"1) Findings: Checked with Cynthia from Spectrum team and she feedback that based on the record they have from Spectrum and her scanning result (from barcode scanner) to scan the attached label. 
No issues found and the lot number reflected correctly on barcode.

Checking from the EAF log file, the data receive from EAF to Camstar is wrong.
As Camstar received the data from EAF and EAF received the data from SmartView.
Meaning the data send from SmartView to EAF was wrong.

2) Containment Action: Informed user to check with vendor for this issue.
User feedback can close the ticket from BOC side.

3) FAQ: 

* Mandatory fields.",95
INC000005776175,CW: 2022/04,1/28/2022 12:45:49 AM,Medium,Singapore,"(1) Problem description on error* (Including screenshot of error):  

- Missing Test Summary

This lot missing test summary in Camstar .  
Found in Archive Viewer but not transfer in Camstar .
Please help transfer to camstar.

(1)LOT ID :  1E133694G02

Summary report: 01/27/2022 20:58:31 
Test Flag : “ W ” missing test summary in Camstar   (1xN,2xW)
Test Mode : B31P                                                           
Node Name:  SINFFX115
Equipment Type : FLEX-115	
Equipment ID :  MT-050
Filename:\\wproj500.sin.infineon.com\ArchView\06_BE_TestSum\2021\33\1E133694\1E133694G02_B31P_W_20220127184014_S2206X8XX204_SINFFX115_sum.txt

Department: Production Test(Singapore)
Tel : +65 6840 0297
   

(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[ x ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: 1E133694G02

(4) Equipments affected: MT-050

(5) Equipment/PC name:

(6) Camstar Server*:
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only): https://faqstorage.infineon.com/KnowledgebaseArticle113067.aspx
 
(10) Affected area contact number*:  +65 6840 0297

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mism",Integration,EAF/EAFA,"1) Findings:
- Missing Test Summary

2) Containment Action*:
- test summary recovered

3) FAQ: 
https://faqstorage.infineon.com/KnowledgebaseArticle113067.aspx

* Mandatory fields.",96
INC000005779165,CW: 2022/05,1/30/2022 3:43:22 AM,Low,Melaka,"Problem Description:
	Partial Test summary not available in camstar, attached is test summary extracted from tester and please help to REPUMP.
	Tester Type : IPTESTER
	Tester ID      : IPTEST012
	Test Mode   : Q11P
	Type             : N
	

Site:
	MKZ M3 (PLT)

Lot Number:
	1F149960G05

Equipments Affected:
	SIS007

Camstar Server:
	MKZSAPA25

Integration Application:
	

Printer:
	

Affected Area Contact Number:
	5717

",Integration,EAF/EAFA,"Test summary recovered, please verify.",97
INC000005779166,CW: 2022/05,1/30/2022 3:49:40 AM,Low,Melaka,"Problem Description:
	Partial Test summary not available in camstar, attached is test summary extracted from tester and please help to REPUMP.
	Tester Type : ETS TESTER(EAGLE)
	Tester ID      : ETS88D001
	Test Mode   : B11P
	Type             : N

Site:
	MKZ M3 (PLT)

Lot Number:
	VE204780G08

Equipments Affected:
	SIS015

Camstar Server:
	MKZSAPA25

Integration Application:
	

Printer:
	

Affected Area Contact Number:
	5717

",Integration,EAF/EAFA,"Test summary recovered, please verify.",98
INC000005791835,CW: 2022/05,2/4/2022 3:03:07 PM,Critical,Melaka,"(1) Problem description on error* (Including screenshot of error):  EAF.AbortTransportJob:(20) General Error. Equipment rejected command. Parameter invalid. Can be CARRIERID not exist, DEST invalid.
   
(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[x] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: 1E143547G01

(4) Equipments affected: SO3K19

(5) Equipment/PC name:

(6) Camstar Server*: MKZSAPA29
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):

(10) Affected area contact number*: +6062515149

(11)Alt Contact Person Name (Compulsory for Critical)*: AWANG

(12)Alt Contact Person Number (Compulsory for Critical): +6012 625 4890

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCW8CG9080KGH.infineon.com, 10.233.32.52, INFINEON\AwanMohd, MKZ/B8.1.R01.P, ,",Integration,EAF/EAFA,"1) Findings: No action taken from BOC. Lot already aborted.

2) Containment Action*:

3) FAQ: 

* Mandatory fields.",99
INC000005801719,CW: 2022/06,2/9/2022 1:22:01 PM,Medium,Melaka,"(1) Problem description on error* (Including screenshot of error):  Camstar.TrackInXml: Error from IFXCamstarGateway with Error Code: 20 and Error Message: General Error. Equipment rejected command. [EAF] – [Eqp ID]: Cannot create job. Recipe body cannot be retrieved! GetRecipeBody call returned error (IFX_ECD=1):Unexpected error:null
   
(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[  ] SIN		[ X ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: 
Bau Number:
96201022
97816155
96201025

(4) Equipments affected:A565Z_2

(5) Equipment/PC name:

(6) Camstar Server*:
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):

(10) Affected area contact number*: +6062515744 

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCN5CG11164MK.infineon.com, 10.233.113.84, INFINEON\MohaMuh, MKZ/B8.1.R01.P, ,",Integration,EAF/EAFA,"1) Findings:
EAF is normal and user reply already solved 
2) Containment Action*:
No Action
3) FAQ: 

* Mandatory fields.",100
INC000005823262,CW: 2022/08,2/21/2022 4:10:40 AM,High,Singapore,"(1) Problem description on error* (Including screenshot of error):  
   EAF.CreateEAJob: -1: Timed out waiting for reply to YODA request after '30' seconds.

(2) Site*: Mark ""x"" for user site

[  ] BTH		[  ] MKZ M2		[  ] WUX CC		[  ] TIJ   
[ x ] SIN		[  ] MKZ M3		[  ] WUX DS		[  ] RBG
[  ] MKZ M1	[  ] MKZ Others	[  ] WUX HPS		[  ] CJJ     

(3) Lot Number: 
ZA125303G07
ZA125304G17

(4) Equipments affected: 

(5) Equipment/PC name:FLEX-109

(6) Camstar Server*:
https://faqstorage.infineon.com/KnowledgebaseArticle125028.aspx

(7) Integration application: Mark ""x"" for other application
 
[  ] AWI		[  ] GPN		[  ] XMES  	   
[  ] DDM		[  ] StMS		[  ] XTEST UI  
[  ] EAF		[  ] Workstream  	  
 
(8) Printer:
https://faqstorage.infineon.com/KnowledgebaseArticle125029.aspx

(9) Referred to FAQ* (For IT/FI only):

(10) Affected area contact number*: +6568400080

(11)Alt Contact Person Name (Compulsory for Critical)*: 

(12)Alt Contact Person Number (Compulsory for Critical):

* Mandatory fields. 

*Change Summary to most fitting CATEGORY:

Button is grey out in FAJob Txn
The FAJob..does not belong to this Equipment
Lot is not allow for [EQ]
Camstar: Track out / in issue
Camstar: Move out / in issue
Lot CDO (InstanceId=""xxx"") not found
Missing Test Summary
Strip map total qty does not match lot qty
Lot is not allowed to transact
SBA State (waitingtostart/not completed)
Strip state mismatch with Camstar lot state ISCW8CC9311571.infineon.com, 10.229.40.42, INFINEON\BehLeeYo, SIN_W, ,",Integration,EAF/EAFA,"1) Findings: Lot has track in successfully.
Verified with user (Beh Lee Yong) and user feedback issue solved and can close ticket.

2) Containment Action*: No action by BOC.

3) FAQ: 

* Mandatory fields.",101
